customer_id,first_name,last_name,email,phone,city,state,registration_date
1,Ikbal,Bhattacharyya,ikbal.bhattacharyya1@gmail.com,3454852592,Sambhal,Punjab,2025-09-26
2,Nihal,Deshpande,nihal.deshpande2@gmail.com,3771215420,Visakhapatnam,Manipur,2026-04-12
3,Nirja,Wason,nirja.wason3@gmail.com,9954927551,Nizamabad,Rajasthan,2025-04-02
4,Ucchal,Sangha,ucchal.sangha4@gmail.com,2412892075,Maheshtala,Sikkim,2025-10-11
5,Kabir,Bedi,kabir.bedi5@gmail.com,9298820945,Madurai,Gujarat,2025-10-21
6,Isha,Boase,isha.boase6@gmail.com,9378399484,Bhind,Punjab,2025-11-22
7,Kashvi,Natt,kashvi.natt7@gmail.com,7487054997,Pondicherry,Sikkim,2025-01-17
8,Harini,Chowdhury,harini.chowdhury8@gmail.com,1463282088,Guntakal,Telangana,2025-11-21
9,Ojas,Murty,ojas.murty9@gmail.com,5737097920,Saharsa,Odisha,2024-09-15
10,Widisha,Mukhopadhyay,widisha.mukhopadhyay10@gmail.com,0622607669,Bally,Madhya Pradesh,2024-11-18
11,Yasti,Sule,yasti.sule11@gmail.com,3583599090,Darbhanga,Haryana,2025-12-25
12,Vrishti,Sachar,vrishti.sachar12@gmail.com,7503299350,Yamunanagar,Assam,2026-02-15
13,Urmi,Brahmbhatt,urmi.brahmbhatt13@gmail.com,2774074051,Agra,Bihar,2026-05-26
14,Onkar,Dave,onkar.dave14@gmail.com,3601406558,Kharagpur,Himachal Pradesh,2026-05-04
15,Alexander,Acharya,alexander.acharya15@gmail.com,3816854800,Pondicherry,Goa,2024-10-24
16,Warda,Chandra,warda.chandra16@gmail.com,3504084150,Ambattur,Kerala,2025-07-27
17,Chandani,Raghavan,chandani.raghavan17@gmail.com,9750243558,Asansol,Haryana,2025-04-06
18,Forum,Mital,forum.mital18@gmail.com,9601363201,Khora ,Sikkim,2026-05-09
19,Faras,Bajaj,faras.bajaj19@gmail.com,3186741081,Burhanpur,Rajasthan,2025-01-11
